P-521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
11.92,16.12,6.9,48.64,39.78
12.0,16.07,6.87,48.9,39.93
11.91,16.0,6.92,48.88,39.82
11.91,16.0,6.9,48.94,40.72
12.0,16.04,6.89,49.04,39.7
12.38,15.99,6.95,49.1,39.82
12.04,16.59,6.92,48.7,40.14
11.97,15.9,7.13,49.29,39.86
12.02,16.04,6.91,48.83,40.05
12.04,16.1,6.95,49.02,39.94
11.91,16.01,6.87,49.23,40.34
11.84,16.12,6.96,49.3,40.19
12.02,15.99,6.95,48.77,40.1
11.78,16.12,6.79,48.86,40.2
11.94,15.94,6.88,48.78,39.8
11.92,16.16,6.86,49.03,40.0
12.04,16.56,6.86,48.89,40.88
11.97,15.92,6.85,48.86,40.71
11.97,16.01,6.87,48.87,41.08
11.97,16.02,6.94,49.45,40.18
12.01,16.07,6.99,48.81,40.12
11.97,16.16,6.86,49.12,40.04
12.0,15.95,6.87,49.06,40.27
11.99,16.08,7.01,49.24,40.33
11.98,15.9,6.75,48.78,40.17
11.92,16.58,6.8,48.7,39.91
11.96,15.83,7.03,48.83,39.97
11.99,16.05,6.82,49.05,39.83
12.09,15.99,6.93,48.84,39.88
